FID,OBJECTID,ASSOCIATIO,ASSOCIAT_1,Weblink,Shape__Are,Shape__Len,ORIG_FID,Lat,Lon
0,98108,Northwest,1,northwest-neighborhood-association,7869739.76172,13178.1895958,0,43.6824989318848,-116.295997619629
1,98109,Sunset,11,sunset-neighborhood-association,2913832.35156,8247.88424591,1,43.643798828125,-116.227996826172
2,98110,North End,6,north-end-neighborhood-association,8526392.77344,15092.5696094,2,43.6319999694824,-116.208999633789
3,98111,West Downtown,5,west-downtown-neighborhood,503537.621094,3018.32129607,3,43.621898651123,-116.214996337891
4,98112,Downtown Boise,8,downtown-boise-neighborhood-association,7355536.27734,15938.253324,4,43.6134986877441,-116.209999084473
5,98113,East End,9,east-end-neighborhood-association,18086739.2695,21073.096399,5,43.6058006286621,-116.168998718262
6,98114,Central Rim,14,central-rim-neighborhood-association,1565551.28516,5118.27205927,6,43.6147003173828,-116.236999511719
7,98115,Borah,19,borah-neighborhood-association,8484060.29297,12237.1689098,7,43.5952987670899,-116.266998291016
8,98116,Central Bench,20,central-bench-neighborhood-association,4999695.12109,8942.43454876,8,43.5970993041992,-116.244003295898
9,98117,South Boise Village,17,south-boise-village-neighborhood-association,1741396.41797,6219.74307594,9,43.5898017883301,-116.198997497559
10,98118,Warm Springs Mesa,10,warm-springs-mesa-neighborhood-association,4758459.86328,11295.2283038,10,43.586498260498,-116.147003173828
11,98119,Hillcrest,21,hillcrest-neighborhood-association,6231348.02734,10723.5976253,11,43.5811996459961,-116.23999786377
12,98120,Vista,16,vista-neighborhood-association,10080048.0625,14368.2766605,12,43.5802001953125,-116.212997436523
13,98121,Morris Hill,25,morris-hill-neighborhood-association,3559803.73047,8528.50542686,13,43.6100006103516,-116.245002746582
14,98122,Highlands,3,highlands-neighborhood-association,13715721.9961,17005.4073101,14,43.6533012390137,-116.190002441406
15,98123,Collister,2,collister-neighborhood-association,38379006.1211,32458.9015479,15,43.6776008605957,-116.241996765137
16,98124,West Valley,12,west-valley-neighborhood-association,27630384.0313,22342.5700436,16,43.6395988464355,-116.315002441406
17,98125,West Bench,13,west-bench-neighborhood-association,10492500.1563,16028.5605055,17,43.63330078125,-116.281997680664
18,98126,Southwest Ada County Alliance,22,southwest-ada-county-alliance,52279296.9766,31936.0244575,18,43.5634002685547,-116.317001342773
19,98127,Central Foothills,27,central-foothills-neighborhood-association,20349559.3125,24387.6805713,19,43.6699981689453,-116.207000732422
20,98128,Pierce Park,26,pierce-park-neighborhood-association,2970681.04297,8123.01490212,20,43.6730995178223,-116.274002075195
21,98129,Quail Ridge,23,quail-ridge-neighborhood-association,1893871.74609,6697.73328451,21,43.6673011779785,-116.238998413086
22,98130,Glenwood Rim,28,glenwood-rim-neighborhood-association,1291737.42188,5607.04455159,22,43.6487007141113,-116.287002563477
23,98131,Boise Heights,4,boise-heights-neighborhood-association,1645154.83984,9056.8417588,23,43.6301002502441,-116.182998657227
24,98132,Barber Valley,24,barber-valley-association,19186321.8789,30152.5227919,24,43.5728988647461,-116.121002197266
25,98133,Somerset,30,somerset-neighborhood-association,2816900.48828,8581.18965229,25,43.6365013122559,-116.186996459961
26,98134,Liberty Park,31,liberty-park-neighborhood-association,3064912.51172,7368.99006022,26,43.6087989807129,-116.262001037598
27,98135,South Cole,32,south-cole-neighborhood-association,52310939.7344,31772.5676157,27,43.5578002929688,-116.268997192383
28,98136,South Eisenman,34,south-eisenman-neighborhood-association,12382592.3125,16316.4516409,28,43.5242004394531,-116.16300201416
29,98137,Winstead Park,35,winstead-park-neighborhood-association,6144184.5,11584.635667,29,43.6255989074707,-116.261001586914
30,98138,Centennial,36,centennial-neighborhood-association,13889229.0234,21812.0950278,30,43.6478004455566,-116.34700012207
31,98139,Depot Bench,15,depot-bench-neighborhood-association,7941637.59375,12595.9789635,31,43.5987014770508,-116.22200012207
32,98140,Southeast Boise,18,southeast-neighborhood-association,78266903.5508,47385.4935601,32,43.5550994873047,-116.148002624512
33,98141,Lusk District,29,lusk-district-neighborhood-association,518404.890625,3808.17010137,33,43.6072006225586,-116.212997436523
34,98142,Veterans Park,7,veterans-park-neighborhood-association,4574509.88281,11552.0939436,34,43.6445007324219,-116.245002746582
35,98143,West End,33,west-end-neighborhood-association,4542713.83203,10096.7505979,35,43.6272010803223,-116.226997375488
